t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.6180101537480076,0.08684759351544365,train
1,0.1,0.3543926317855807,0.09709692226518964,train
2,0.1,0.31939011916273186,0.14304483034912108,train
3,0.1,0.3572524817230873,0.2213721001282706,train
4,0.2,0.454014275746781,0.32903280499670895,train
5,0.2,0.5742744043090556,0.4632278603085037,train
6,0.2,0.7143759207729112,0.6213775458722695,train
7,0.3,0.8637620474947858,0.8010950416896511,train
8,0.6,1.0186579609021438,1.0001626271486914,train
9,0.7,1.1759082062617836,1.2165115767136596,train
10,1.2,1.335657547590848,1.4482061210001311,train
11,1.9,1.5007131006612964,1.6934312741805964,train
12,2.9,1.6768216477597806,1.9504839394102387,train
13,3.0,1.8724122141098343,2.2177665135422227,train
14,2.5,2.09831330397174,2.493782193503833,train
15,2.1,2.3671379302729316,2.777131286476953,train
16,2.3,2.691935658969371,3.066507986762214,train
17,3.0,3.0831850717445177,3.3606972557109738,train
18,3.5,3.5427024469923887,3.658571595308502,validation
19,3.8,4.0529784301141865,3.9590876251064597,validation
20,4.6,4.562386090576141,4.2612824531106,validation
21,4.6,4.973225134154783,4.564269878579974,validation
22,5.2,5.150889498847146,4.867236486541954,validation
23,5.5,4.975716949522389,5.169437698587206,validation
24,4.8,4.425552323664286,5.47019383929451,test
25,3.6,3.615290390580981,5.768886267672879,test
26,2.7,2.7340525204705806,6.064953611699905,test
27,1.8,1.9401014032367945,6.357888133325933,test
28,1.1,1.310270307852653,6.647232242125718,test
29,0.6,0.8526588423720829,6.932575168394665,test
30,0.2,0.5399343059808531,7.213549800832744,test
