origin_end,target_t,horizon,actual,prediction,error,abs_error
18,18,1,3.5,3.1683018230279885,-0.33169817697201154,0.33169817697201154
19,19,1,3.8,3.3328732665817493,-0.4671267334182505,0.4671267334182505
20,20,1,4.6,3.461309355237677,-1.1386906447623226,1.1386906447623226
21,21,1,4.6,3.625417414288459,-0.9745825857115404,0.9745825857115404
22,22,1,5.2,3.7303456603064036,-1.4696543396935966,1.4696543396935966
23,23,1,5.5,4.328308981871957,-1.171691018128043,1.171691018128043
24,24,1,4.8,4.609275247035481,-0.19072475296451863,0.19072475296451863
25,25,1,3.6,4.7359149924181425,1.1359149924181424,1.1359149924181424
26,26,1,2.7,4.74402643344563,2.04402643344563,2.04402643344563
27,27,1,1.8,4.854948380119463,3.0549483801194635,3.0549483801194635
28,28,1,1.1,4.959849178978804,3.8598491789788043,3.8598491789788043
29,29,1,0.6,4.263545216104026,3.663545216104026,3.663545216104026
30,30,1,0.2,4.007392142019433,3.8073921420194328,3.8073921420194328
