t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.1,0.21587983718392212,0.004975774207818227,train
1,0.1,0.21587983718392212,0.004975774207818227,train
2,0.2,0.21587983718392212,0.004975774207818227,train
3,0.2,0.2537610123048143,0.0415375382099917,train
4,0.2,0.37416318715318847,0.072543021912564,train
5,0.3,0.4589677907870599,0.13410791186736815,train
6,0.4,0.6704993041811396,0.24509498374423938,train
7,0.6,0.8390362924539103,0.4412507583246661,train
8,0.9,1.1975253306996692,0.7735949436907376,train
9,1.3,1.4961371313595713,1.300042408055291,train
10,1.7,2.054710245944653,2.050020059794223,train
11,2.4,2.509791740800336,2.9596333018099026,train
12,4.5,3.2633890393792604,3.842035501890414,train
13,5.3,3.8178610800688,4.506811231540099,train
14,4.5,4.6225461423814656,4.916195332072409,train
15,4.2,5.078014688986514,5.122686695978897,train
16,4.6,5.634095688689134,5.175235083434545,train
17,5.3,5.708713464705294,5.112875098864152,train
18,6.0,5.725542289357428,4.966729397840327,validation
19,5.0,5.276424035807193,4.761460362737175,validation
20,5.0,4.740950219530573,4.516468969533387,validation
21,4.4,3.9417550226578175,4.2468844820044085,validation
22,4.0,3.1656444751393327,3.964380140171198,validation
23,2.8,2.3732954269179025,3.6778441818356065,validation
24,1.3,1.7130003701531153,3.3939307206827016,test
25,0.3,1.1668131268034356,3.117510970869761,test
26,0.1,0.7670148963245088,2.852041924756259,test
27,0.1,0.4819637542245883,2.599866753304436,test
28,0.1,0.29438983687633874,2.3624588208371335,test
29,0.0,0.17437309962734954,2.1406192142063953,test
30,0.0,0.10149479000736876,1.9346360194348715,test
