round,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score,params
1,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,0.3564726888257035,0.41746532634960776,0.536834810637656,0.1445853492514478,0.16439546589529383,0.7597154366324091,0.14058541774848002,0.15904881630145887,2,0.14058541774848005,0.04953431665144129,0.024767158325720646,0.07437920598783346,"{'1': {'mae': 0.14058541774848002, 'rmse': 0.15904881630145887, 'smape': 0.7200147319618694}}",0.014875841197566693,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.3002284172717674,"{'b0': 0.053393440238025856, 'b1': 0.6880929923001126, 'b2': 0.25320978180954906, 'gamma': 0.3873564112660951, 'rho': 24.632343118173665, 'S0': 0.9816134593642167, 'I0': 0.018386540635783395, 'R0': 0.0, 'fractional': 0.0}"
2,SIR|fractional=0|obs=delayed_I|delay=2,SIR,False,delayed_I,2,delayed,6,3,0.35653037068918086,0.4501860446556702,0.5470465876598696,0.14724292129052807,0.16738681515378728,0.7844068641132868,0.14178178074031364,0.16095294938506302,2,0.14178178074031367,0.050980129508598857,0.025490064754299428,0.07618253451977225,"{'1': {'mae': 0.14178178074031364, 'rmse': 0.16095294938506302, 'smape': 0.7354367964900345}}",0.01523650690395445,0.13,0.06,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.31250835239856756,"{'b0': 0.30283966817044367, 'b1': 0.11116202392830192, 'b2': 0.36408315002984015, 'gamma': 0.41036545245805855, 'rho': 26.107412575194243, 'S0': 0.9692318285335054, 'I0': 0.03076817146649456, 'R0': 0.0, 'fractional': 0.0}"
2,SIR|fractional=0|obs=delayed_I|delay=3,SIR,False,delayed_I,3,delayed,6,3,0.39461421736012847,0.5031407481378873,0.582801658701621,0.1461324716008712,0.16595946312804574,0.7726544372208776,0.1394655146672519,0.15809125527470078,2,0.1394655146672519,0.04949510422880416,0.02474755211440208,0.07444605572445835,"{'1': {'mae': 0.1394655146672519, 'rmse': 0.15809125527470078, 'smape': 0.7133781611387442}}",0.014889211144891671,0.135,0.06,0.06,0.0,0.0,0.0,0.015,0.0,0.0,0.31410227792654566,"{'b0': 0.33752367678927375, 'b1': -0.47114608750658743, 'b2': 0.5441052776362229, 'gamma': 0.4081873877654713, 'rho': 26.164544019104977, 'S0': 0.9602177192616372, 'I0': 0.03978228073836267, 'R0': 0.0, 'fractional': 0.0}"
2,SIR|fractional=1|obs=I,SIR,True,I,0,infectious,7,3,0.3713015274132127,0.41703271456564456,0.5423189753054732,0.1261320650603092,0.14560391983287185,0.6102724852665676,0.14488388712541975,0.15941954316473092,2,0.14488388712541975,0.03234304390836439,0.016171521954182196,0.06650751832898395,"{'1': {'mae': 0.14488388712541975, 'rmse': 0.15941954316473092, 'smape': 0.6793141238118126}}",0.013301503665796792,0.14500000000000002,0.07,0.06,0.015,0.0,0.0,0.0,0.0,0.0,0.3193569127453988,"{'b0': 0.5443093139133736, 'b1': 0.34239631510607843, 'b2': -0.024697911885652124, 'gamma': 0.436694632804773, 'rho': 27.592485018181776, 'alpha': 0.9860946355018259, 'S0': 0.9853465947177985, 'I0': 0.01465340528220138, 'R0': 0.0, 'fractional': 1.0}"
3,SIR|fractional=1|obs=delayed_I|delay=2,SIR,True,delayed_I,2,delayed,7,3,0.3671960399686693,0.45178297684005614,0.5478480927653737,0.1407542476455871,0.1601057796578833,0.7272133878409185,0.1321558907923309,0.15060537958194797,2,0.1321558907923309,0.04722042602122018,0.02361021301061009,0.07222742476309223,"{'1': {'mae': 0.1321558907923309, 'rmse': 0.15060537958194797, 'smape': 0.6592714666969482}}",0.014445484952618446,0.15500000000000003,0.07,0.06,0.015,0.0,0.0,0.01,0.0,0.0,0.32521158875555944,"{'b0': 0.10055615361631075, 'b1': 0.17201395533414532, 'b2': 0.5893260974587851, 'gamma': 0.4284029527739663, 'rho': 27.436944881510584, 'alpha': 0.9926328346555658, 'S0': 0.9708726398543531, 'I0': 0.029127360145646906, 'R0': 0.0, 'fractional': 1.0}"
3,SIR|fractional=1|obs=delayed_I|delay=3,SIR,True,delayed_I,3,delayed,7,3,0.4048612182264392,0.50462325876716,0.5839191553058175,0.13838366900688664,0.15749270476806043,0.7056839391696911,0.14328658449012596,0.15739060416419906,2,0.14328658449012596,0.033004451342014414,0.016502225671007207,0.06512109477216724,"{'1': {'mae': 0.14328658449012596, 'rmse': 0.15739060416419906, 'smape': 0.6744188513886047}}",0.013024218954433448,0.16000000000000003,0.07,0.06,0.015,0.0,0.0,0.015,0.0,0.0,0.33281302911556665,"{'b0': 0.27322655740492446, 'b1': -0.4685199828612411, 'b2': 0.6332648185968307, 'gamma': 0.4278787031557106, 'rho': 27.721047479281506, 'alpha': 0.9921720114943628, 'S0': 0.9623563175502723, 'I0': 0.03764368244972775, 'R0': 0.0, 'fractional': 1.0}"
1,SEIRS|fractional=0|obs=I,SEIRS,False,I,0,infectious,9,4,0.408429701071662,0.411584110912729,0.5407144637129917,0.14187926567232653,0.16198556714556056,0.743154364528352,0.1267035095143538,0.1458927183695644,2,0.1267035095143538,0.04671815109421831,0.023359075547109157,0.07232500224685166,"{'1': {'mae': 0.1267035095143538, 'rmse': 0.1458927183695644, 'smape': 0.6286526642309183}}",0.014465000449370333,0.18,0.09,0.08,0.0,0.0,0.0,0.0,0.01,0.0,0.3445275855108333,"{'b0': 1.5181687094183696, 'b1': 0.5178824059030577, 'b2': 0.3261548924300007, 'sigma': 0.5353405207299798, 'gamma': 0.3880498064076764, 'omega': 0.0024936896423154923, 'rho': 23.53526634027555, 'S0': 0.9539494310928592, 'E0': 0.026355718548502712, 'I0': 0.01969485035863792, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,0.3844541575803365,0.40557442424654955,0.5352599375296433,0.1545901833074084,0.17622702482370695,0.8545512260377564,0.14869425908577014,0.17183270338504938,2,0.14869425908577016,0.0573456126605845,0.02867280633029225,0.0861190760955331,"{'1': {'mae': 0.14869425908577014, 'rmse': 0.17183270338504938, 'smape': 0.8135841818906383}}",0.01722381521910662,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.3545908806351691,"{'b0': 1.8507338397434874, 'b1': 0.5559104220037592, 'b2': 0.20042172519952273, 'sigma': 0.4770148549945632, 'gamma': 0.3912474476834741, 'rho': 23.812866283931815, 'S0': 0.950323045150367, 'E0': 0.033001333543270665, 'I0': 0.01667562130636236, 'R0': 0.0, 'fractional': 0.0}"
2,SEIRS|fractional=0|obs=delayed_I|delay=2,SEIRS,False,delayed_I,2,delayed,9,4,0.3817943433273048,0.43587724321853727,0.5440974660897486,0.13459516425575824,0.15383444690828368,0.6805458430988119,0.13465321831853125,0.14959168653927155,2,0.13465321831853125,0.039669893691762874,0.019834946845881437,0.06516274609104222,"{'1': {'mae': 0.13465321831853125, 'rmse': 0.14959168653927155, 'smape': 0.6539764167498099}}",0.013032549218208445,0.19,0.09,0.08,0.0,0.0,0.0,0.01,0.01,0.0,0.3575207143826211,"{'b0': 1.5865965520062515, 'b1': 0.40594333989609716, 'b2': 0.5573129212328433, 'sigma': 0.4965060800548027, 'gamma': 0.396884947578991, 'omega': 0.0035907273577848683, 'rho': 23.387606527783916, 'S0': 0.8693260571653116, 'E0': 0.10308256036540248, 'I0': 0.027591382469286, 'R0': 0.0, 'fractional': 0.0}"
1,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR,False,delayed_I,1,delayed,8,4,3.380257903431732,1.6620201598979472,1.8207916343633634,1.294787342123076,1.3360838125963794,1.373882685346766,0.1509689135234765,0.1725550619054725,2,0.1509689135234765,0.0555494059451195,0.02777470297255975,0.08356815505168541,"{'1': {'mae': 0.1509689135234765, 'rmse': 0.1725550619054725, 'smape': 0.8231170421908788}}",0.01671363101033708,0.165,0.08,0.08,0.0,0.0,0.0,0.005,0.0,0.0,0.3604572475063733,"{'b0': -3.7322926185612912, 'b1': -0.38335538840642325, 'b2': -0.14498558108522577, 'sigma': 0.1637979941298673, 'gamma': 0.16126493877888937, 'rho': 13.379226485878883, 'S0': 0.040347271640482005, 'E0': 0.9553575212024414, 'I0': 0.0042952071570766855, 'R0': 0.0, 'fractional': 0.0}"
