t,actual,full_fit_prediction,test_forecast_prediction,segment
0,0.4,0.30791445583357696,0.3578543596520632,train
1,0.6,0.7411094283437973,0.6235560183369508,train
2,0.9,0.8999123417267861,0.8857719641232769,train
3,1.7,1.4532574103614297,1.456355255721496,train
4,2.5,2.1793770458119885,2.21544855861152,train
5,3.2,3.351657956256198,3.41231445719319,train
6,3.9,4.85256263084422,4.8671034018780155,train
7,6.9,6.497403428102028,6.453325815291999,train
8,8.7,7.699316818429472,7.594129794629571,train
9,7.3,7.908553966081445,7.839797297512827,train
10,6.4,7.061957891251797,7.0696293589697605,train
11,5.6,5.621188634198815,5.672277505119817,train
12,5.2,4.106781793601777,4.151631280847965,train
13,3.0,2.821707126821597,2.8383340880496175,train
14,1.3,1.8582262439742594,1.8484301889971022,train
15,0.8,1.1900257486700552,1.1649381621319106,train
16,0.5,0.7489021925443787,0.719172849407306,train
17,0.4,0.46638552756694945,0.43862758987898537,train
18,0.3,0.28868493083848407,0.2657328607958575,validation
19,0.3,0.17807507239682868,0.160418230799062,validation
20,0.3,0.1096332367475194,0.09666512883132929,validation
21,0.2,0.06742412151970066,0.0581947350118792,validation
22,0.3,0.041441093835360515,0.035018155857955605,validation
23,0.3,0.02546277490881833,0.021066768770458717,validation
24,0.3,0.0156423742901126,0.012672071843621414,test
25,0.2,0.009608533477055014,0.007621979780460423,test
26,0.2,0.005901851379683962,0.004584285363963407,test
27,0.2,0.0036249890175332838,0.002757187250101262,test
28,0.2,0.0022264767011929924,0.001658271351567523,test
29,0.1,0.0013674951802927482,0.0009973371495093607,test
30,0.0,0.0008399073278592909,0.0005998283457611406,test
