origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.7462629660601136,0.34626296606011353,0.34626296606011353
32,32,1,0.3,0.6432692438381273,0.34326924383812735,0.34326924383812735
33,33,1,0.3,0.5606485960479248,0.26064859604792484,0.26064859604792484
34,34,1,0.3,0.47976328855473643,0.17976328855473644,0.17976328855473644
35,35,1,0.2,0.4259182225324311,0.2259182225324311,0.2259182225324311
36,36,1,0.2,0.3705697240483594,0.1705697240483594,0.1705697240483594
37,37,1,0.2,0.3147733814028316,0.11477338140283161,0.11477338140283161
38,38,1,0.2,0.2745536498142275,0.07455364981422746,0.07455364981422746
39,39,1,0.2,0.24079471749312842,0.04079471749312841,0.04079471749312841
40,40,1,0.2,0.21144947297451894,0.011449472974518926,0.011449472974518926
41,41,1,0.1,0.18587183153196885,0.08587183153196884,0.08587183153196884
42,42,1,0.1,0.16298830409328477,0.06298830409328476,0.06298830409328476
43,43,1,0.1,0.14304212978276235,0.04304212978276234,0.04304212978276234
44,44,1,0.1,0.12559012419423818,0.025590124194238173,0.025590124194238173
45,45,1,0.1,0.11041125773182296,0.010411257731822957,0.010411257731822957
46,46,1,0.1,0.09698704537686267,-0.0030129546231373316,0.0030129546231373316
47,47,1,0.1,0.08526450423690288,-0.014735495763097128,0.014735495763097128
48,48,1,0.1,0.0749930230940074,-0.0250069769059926,0.0250069769059926
49,49,1,0.1,0.06596597953628568,-0.03403402046371433,0.03403402046371433
50,50,1,0.1,0.05799751609621227,-0.04200248390378773,0.04200248390378773
51,51,1,0.1,0.051051313880922905,-0.0489486861190771,0.0489486861190771
