CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2024-25,2024,40,Overall,Overall,Overall,Overall,0.0,0.1,,,2024-25,0,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,41,Overall,Overall,Overall,Overall,0.0,0.1,,,2024-25,1,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,42,Overall,Overall,Overall,Overall,0.0,0.2,,,2024-25,2,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,43,Overall,Overall,Overall,Overall,1.0,0.2,,,2024-25,3,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,44,Overall,Overall,Overall,Overall,1.0,0.2,,,2024-25,4,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,45,Overall,Overall,Overall,Overall,1.0,0.3,,,2024-25,5,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,46,Overall,Overall,Overall,Overall,2.0,0.4,,,2024-25,6,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,47,Overall,Overall,Overall,Overall,2.0,0.5,,,2024-25,7,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,48,Overall,Overall,Overall,Overall,3.0,0.6,,,2024-25,8,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,49,Overall,Overall,Overall,Overall,4.0,1.2,,,2024-25,9,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,50,Overall,Overall,Overall,Overall,6.0,2.1,,,2024-25,10,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,51,Overall,Overall,Overall,Overall,10.0,3.8,,,2024-25,11,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2024,52,Overall,Overall,Overall,Overall,17.0,7.7,,,2024-25,12,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,1,Overall,Overall,Overall,Overall,27.0,10.1,,,2024-25,13,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,2,Overall,Overall,Overall,Overall,36.0,8.4,,,2024-25,14,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,3,Overall,Overall,Overall,Overall,45.0,9.2,,,2024-25,15,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,4,Overall,Overall,Overall,Overall,56.0,10.9,,,2024-25,16,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,5,Overall,Overall,Overall,Overall,69.0,13.4,,,2024-25,17,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,6,Overall,Overall,Overall,Overall,83.0,13.5,,,2024-25,18,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,7,Overall,Overall,Overall,Overall,93.0,10.6,,,2024-25,19,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,8,Overall,Overall,Overall,Overall,102.0,8.4,,,2024-25,20,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,9,Overall,Overall,Overall,Overall,109.0,6.7,,,2024-25,21,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,10,Overall,Overall,Overall,Overall,113.0,4.8,,,2024-25,22,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,11,Overall,Overall,Overall,Overall,117.0,3.8,,,2024-25,23,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,12,Overall,Overall,Overall,Overall,120.0,2.6,,,2024-25,24,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,13,Overall,Overall,Overall,Overall,122.0,2.0,,,2024-25,25,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,14,Overall,Overall,Overall,Overall,123.0,1.6,,,2024-25,26,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,15,Overall,Overall,Overall,Overall,124.0,1.1,,,2024-25,27,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,16,Overall,Overall,Overall,Overall,125.0,0.8,,,2024-25,28,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,17,Overall,Overall,Overall,Overall,126.0,0.7,,,2024-25,29,2024-25 / Overall
Entire Network,FluSurv-NET,2024-25,2025,18,Overall,Overall,Overall,Overall,126.0,0.3,,,2024-25,30,2024-25 / Overall
