series_name,structure_spec,count,mean_test_mae,mean_rolling_mae,num_seeds,selected_structure_frequency
0-4 yr,SEIRS|fractional=0|obs=I,3,0.09111816624652573,0.12223484376604331,5,0.6
0-4 yr,SEIRS|fractional=1|obs=delayed_I|delay=1,1,0.0884969011886747,0.1002020852886275,5,0.2
0-4 yr,SEIRS|fractional=0|obs=delayed_I|delay=2,1,0.0911295067910802,0.1498129444318894,5,0.2
18-49 yr,SIR|fractional=0|obs=I,5,0.04801746248017238,0.07874183169085136,5,1.0
5-17 yr,SEIRS|fractional=0|obs=I,2,0.0018143743538054499,0.0530034597193711,5,0.4
5-17 yr,SEIRS|fractional=0|obs=delayed_I|delay=2,1,0.0074346216989139,0.0496018083021007,5,0.2
5-17 yr,SEIRS|fractional=1|obs=I,1,0.0110120837813674,0.0497834075515647,5,0.2
5-17 yr,SEIRS|fractional=0|obs=delayed_I|delay=3,1,0.0119109976484771,0.062162771710695,5,0.2
50-64 yr,SIR|fractional=0|obs=I,5,0.03716068880467958,0.05404298335343975,5,1.0
>= 65 yr,SEIRS|fractional=1|obs=delayed_I|delay=2,3,0.12918895427056878,0.1969098346925262,5,0.6
>= 65 yr,SEIRS|fractional=1|obs=I,2,0.12208808337264404,0.1705779715304551,5,0.4
Overall,SIR|fractional=0|obs=I,5,0.03696727293073786,0.09590858176503152,5,1.0
