series_name,model_name,num_seeds,age_prior_mean_test_mae,age_prior_std_test_mae,age_prior_mean_rolling_mae,age_prior_std_rolling_mae,test_win_count_x,rolling_win_count_x,num_free_params,num_compartments,age_prior_test_win_rate,age_prior_rolling_win_rate,no_age_prior_mean_test_mae,no_age_prior_std_test_mae,no_age_prior_mean_rolling_mae,no_age_prior_std_rolling_mae,test_win_count_y,rolling_win_count_y,no_age_prior_test_win_rate,no_age_prior_rolling_win_rate,delta_mean_test_mae,delta_mean_rolling_mae,delta_test_win_rate,delta_rolling_win_rate
0-4 yr,constrained_structure_discovery,5,0.0905961813438664,0.0010496492671591,0.1233439122037293,0.0159212630280437,5,5,9,4,1.0,1.0,0.0905961813438664,0.0010496492671591,0.1233439122037293,0.0159212630280437,5,5,1.0,1.0,0.0,0.0,0.0,0.0
0-4 yr,delayed_observation_seir,5,0.1179803617225903,0.0001351863852706,0.2125732477606094,0.0026777189382011,0,0,8,4,0.0,0.0,0.1179803617225903,0.0001351863852706,0.2125732477606094,0.0026777189382011,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0-4 yr,deterministic_seir,5,0.1182173966683391,0.0001496170862905,0.2130010731678034,0.0003064169165539,0,0,8,4,0.0,0.0,0.1182173966683391,0.0001496170862905,0.2130010731678034,0.0003064169165539,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0-4 yr,fractional_seir,5,0.1318204322127359,0.0169469688711101,0.2225907416362851,0.0081563173414576,0,0,9,4,0.0,0.0,0.1318204322127359,0.0169469688711101,0.2225907416362851,0.0081563173414576,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0-4 yr,hospitalized_seihr,5,0.117311735568537,0.0001360737098754,0.2130366362747957,0.0002503360642224,0,0,11,5,0.0,0.0,0.117311735568537,0.0001360737098754,0.2130366362747957,0.0002503360642224,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0-4 yr,probabilistic_seir,5,0.1050532952150449,7.44905037027558e-05,0.1893550171931262,0.0004846214347091,0,0,9,4,0.0,0.0,0.1050532952150449,7.44905037027558e-05,0.1893550171931262,0.0004846214347091,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18-49 yr,constrained_structure_discovery,5,0.0480174624801723,3.011664834259785e-07,0.0787418316908513,2.802003458581955e-07,0,0,6,3,0.0,0.0,0.0480174624801723,3.011664834259785e-07,0.0787418316908513,2.802003458581955e-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18-49 yr,delayed_observation_seir,5,0.0449112209787242,0.0001901164413869,0.0730804850753024,0.0003650856460518,1,1,8,4,0.2,0.2,0.0449112209787242,0.0001901164413869,0.0730804850753024,0.0003650856460518,1,1,0.2,0.2,0.0,0.0,0.0,0.0
18-49 yr,deterministic_seir,5,0.0448592744969001,3.65622500846972e-05,0.0729321401645588,0.0004598232722481,1,3,8,4,0.2,0.6,0.0448592744969001,3.65622500846972e-05,0.0729321401645588,0.0004598232722481,1,3,0.2,0.6,0.0,0.0,0.0,0.0
18-49 yr,fractional_seir,5,0.0514963063152421,0.0132331318866156,0.0991958314118416,0.0153637115567532,1,0,9,4,0.2,0.0,0.0514963063152421,0.0132331318866156,0.0991958314118416,0.0153637115567532,1,0,0.2,0.0,0.0,0.0,0.0,0.0
18-49 yr,hospitalized_seihr,5,0.0468854556119167,0.0026715520111124,0.0741606266568729,0.0011458158463322,2,1,11,5,0.4,0.2,0.0468854556119167,0.0026715520111124,0.0741606266568729,0.0011458158463322,2,1,0.4,0.2,0.0,0.0,0.0,0.0
18-49 yr,probabilistic_seir,5,0.0466890843843338,2.5098419882289385e-07,0.0807191385390104,0.0001034084176851,0,0,9,4,0.0,0.0,0.0466890843843338,2.5098419882289385e-07,0.0807191385390104,0.0001034084176851,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5-17 yr,constrained_structure_discovery,5,0.0067972903672738,0.0043354257236946,0.0535109814006205,0.0048786308426955,4,0,9,4,0.8,0.0,0.0067972903672738,0.0043354257236946,0.0535109814006205,0.0048786308426955,4,0,0.8,0.0,0.0,0.0,0.0,0.0
5-17 yr,delayed_observation_seir,5,0.0441121542668585,0.0023543733826016,0.0815358901979993,0.0079394594820272,0,0,8,4,0.0,0.0,0.0441121542668585,0.0023543733826016,0.0815358901979993,0.0079394594820272,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5-17 yr,deterministic_seir,5,0.0432905229848263,0.0017381237213785,0.0787136305605884,0.0028317516963381,0,0,8,4,0.0,0.0,0.0432905229848263,0.0017381237213785,0.0787136305605884,0.0028317516963381,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5-17 yr,fractional_seir,5,0.0276027490066097,0.0200357039111047,0.0806455291741285,0.0008505363831535,1,0,9,4,0.2,0.0,0.0276027490066097,0.0200357039111047,0.0806455291741285,0.0008505363831535,1,0,0.2,0.0,0.0,0.0,0.0,0.0
5-17 yr,hospitalized_seihr,5,0.0253518553280933,0.0001675799424197,0.0540307201944034,0.000194017976216,0,0,11,5,0.0,0.0,0.0253518553280933,0.0001675799424197,0.0540307201944034,0.000194017976216,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5-17 yr,probabilistic_seir,5,0.033700094445742,1.1487076962982556e-06,0.0420241988151443,0.0017660342502198,0,5,9,4,0.0,1.0,0.033700094445742,1.1487076962982556e-06,0.0420241988151443,0.0017660342502198,0,5,0.0,1.0,0.0,0.0,0.0,0.0
50-64 yr,constrained_structure_discovery,5,0.0371606888046795,2.36309316872801e-08,0.0540429833534397,4.785126990937932e-07,2,1,6,3,0.4,0.2,0.0371606888046795,2.36309316872801e-08,0.0540429833534397,4.785126990937932e-07,2,1,0.4,0.2,0.0,0.0,0.0,0.0
50-64 yr,delayed_observation_seir,5,0.0379422399377724,0.0001237044325081,0.0550230372758773,0.0063678233081346,0,4,8,4,0.0,0.8,0.0379422399377724,0.0001237044325081,0.0550230372758773,0.0063678233081346,0,4,0.0,0.8,0.0,0.0,0.0,0.0
50-64 yr,deterministic_seir,5,0.0380329283454341,2.5714073107494523e-05,0.0561795181883451,0.0070287521082612,0,0,8,4,0.0,0.0,0.0380329283454341,2.5714073107494523e-05,0.0561795181883451,0.0070287521082612,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50-64 yr,fractional_seir,5,0.0983932851244526,0.0098911674890722,0.137220474026751,0.0088622167210972,0,0,9,4,0.0,0.0,0.0983932851244526,0.0098911674890722,0.137220474026751,0.0088622167210972,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50-64 yr,hospitalized_seihr,5,0.0372799162323546,0.0003667481473318,0.0571013620472777,0.0035388361001393,3,0,11,5,0.6,0.0,0.0372799162323546,0.0003667481473318,0.0571013620472777,0.0035388361001393,3,0,0.6,0.0,0.0,0.0,0.0,0.0
50-64 yr,probabilistic_seir,5,0.0377731077489309,5.290936612611662e-05,0.062964914451273,0.0003265202293004,0,0,9,4,0.0,0.0,0.0377731077489309,5.290936612611662e-05,0.062964914451273,0.0003265202293004,0,0,0.0,0.0,0.0,0.0,0.0,0.0
>= 65 yr,constrained_structure_discovery,5,0.1263486059113989,0.0034819348534128,0.1863770894276977,0.0232353907265043,0,4,10,4,0.0,0.8,0.1263486059113989,0.0034819348534128,0.1863770894276977,0.0232353907265043,0,4,0.0,0.8,0.0,0.0,0.0,0.0
>= 65 yr,delayed_observation_seir,5,0.1197175329960842,0.000101913919727,0.2222452400479898,0.0003108744495988,1,1,8,4,0.2,0.2,0.1197175329960842,0.000101913919727,0.2222452400479898,0.0003108744495988,1,1,0.2,0.2,0.0,0.0,0.0,0.0
>= 65 yr,deterministic_seir,5,0.1196721057457062,1.659979048263222e-05,0.2224304963964281,0.0006599368318334,3,0,8,4,0.6,0.0,0.1196721057457062,1.659979048263222e-05,0.2224304963964281,0.0006599368318334,3,0,0.6,0.0,0.0,0.0,0.0,0.0
>= 65 yr,fractional_seir,5,0.1975100230371668,0.0700152929314041,0.4384002765172877,0.0731416400899222,1,0,9,4,0.2,0.0,0.1975100230371668,0.0700152929314041,0.4384002765172877,0.0731416400899222,1,0,0.2,0.0,0.0,0.0,0.0,0.0
>= 65 yr,hospitalized_seihr,5,0.1236012884799134,0.0031351890367084,0.2466575067225371,0.0072413220950635,0,0,11,5,0.0,0.0,0.1236012884799134,0.0031351890367084,0.2466575067225371,0.0072413220950635,0,0,0.0,0.0,0.0,0.0,0.0,0.0
>= 65 yr,probabilistic_seir,5,0.1238238619228053,0.0006053741925905,0.2771948882653076,0.0005650042773545,0,0,9,4,0.0,0.0,0.1238238619228053,0.0006053741925905,0.2771948882653076,0.0005650042773545,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Overall,constrained_structure_discovery,5,0.0369672729307378,1.1346177865109458e-07,0.0959085817650315,0.0140708921167559,0,0,6,3,0.0,0.0,0.0369672729307378,1.1346177865109458e-07,0.0959085817650315,0.0140708921167559,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Overall,delayed_observation_seir,5,0.0350562463673907,7.72364389104073e-05,0.0817785816980723,0.0022748577726612,4,2,8,4,0.8,0.4,0.0350562463673907,7.72364389104073e-05,0.0817785816980723,0.0022748577726612,4,2,0.8,0.4,0.0,0.0,0.0,0.0
Overall,deterministic_seir,5,0.0352048064344647,0.0002210706290683,0.0818985653247281,0.000825402158572,1,2,8,4,0.2,0.4,0.0352048064344647,0.0002210706290683,0.0818985653247281,0.000825402158572,1,2,0.2,0.4,0.0,0.0,0.0,0.0
Overall,fractional_seir,5,0.0858819244270996,0.0288959905291874,0.1311555149013284,0.0181234310972727,0,0,9,4,0.0,0.0,0.0858819244270996,0.0288959905291874,0.1311555149013284,0.0181234310972727,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Overall,hospitalized_seihr,5,0.0380767423469581,0.0016145356347388,0.0843013345386159,0.0022652849317432,0,1,11,5,0.0,0.2,0.0380767423469581,0.0016145356347388,0.0843013345386159,0.0022652849317432,0,1,0.0,0.2,0.0,0.0,0.0,0.0
Overall,probabilistic_seir,5,0.0368197524453196,9.52282290104364e-06,0.0958651733433522,0.0002713814447593,0,0,9,4,0.0,0.0,0.0368197524453196,9.52282290104364e-06,0.0958651733433522,0.0002713814447593,0,0,0.0,0.0,0.0,0.0,0.0,0.0
