series_name,structure_spec,age_prior_count,age_prior_mean_test_mae,age_prior_mean_rolling_mae,num_seeds,age_prior_selected_structure_frequency,no_age_prior_count,no_age_prior_mean_test_mae,no_age_prior_mean_rolling_mae,no_age_prior_selected_structure_frequency,count_delta,frequency_delta
0-4 yr,SEIRS|fractional=0|obs=I,3,0.0911181662465257,0.1222348437660433,5,0.6,3,0.0911181662465257,0.1222348437660433,0.6,0,0.0
0-4 yr,SEIRS|fractional=0|obs=delayed_I|delay=2,1,0.0911295067910802,0.1498129444318894,5,0.2,1,0.0911295067910802,0.1498129444318894,0.2,0,0.0
0-4 yr,SEIRS|fractional=1|obs=delayed_I|delay=1,1,0.0884969011886747,0.1002020852886275,5,0.2,1,0.0884969011886747,0.1002020852886275,0.2,0,0.0
18-49 yr,SIR|fractional=0|obs=I,5,0.0480174624801723,0.0787418316908513,5,1.0,5,0.0480174624801723,0.0787418316908513,1.0,0,0.0
5-17 yr,SEIRS|fractional=0|obs=I,2,0.0018143743538054,0.0530034597193711,5,0.4,2,0.0018143743538054,0.0530034597193711,0.4,0,0.0
5-17 yr,SEIRS|fractional=0|obs=delayed_I|delay=2,1,0.0074346216989139,0.0496018083021007,5,0.2,1,0.0074346216989139,0.0496018083021007,0.2,0,0.0
5-17 yr,SEIRS|fractional=0|obs=delayed_I|delay=3,1,0.0119109976484771,0.062162771710695,5,0.2,1,0.0119109976484771,0.062162771710695,0.2,0,0.0
5-17 yr,SEIRS|fractional=1|obs=I,1,0.0110120837813674,0.0497834075515647,5,0.2,1,0.0110120837813674,0.0497834075515647,0.2,0,0.0
50-64 yr,SIR|fractional=0|obs=I,5,0.0371606888046795,0.0540429833534397,5,1.0,5,0.0371606888046795,0.0540429833534397,1.0,0,0.0
>= 65 yr,SEIRS|fractional=1|obs=I,2,0.122088083372644,0.1705779715304551,5,0.4,2,0.122088083372644,0.1705779715304551,0.4,0,0.0
>= 65 yr,SEIRS|fractional=1|obs=delayed_I|delay=2,3,0.1291889542705687,0.1969098346925262,5,0.6,3,0.1291889542705687,0.1969098346925262,0.6,0,0.0
Overall,SIR|fractional=0|obs=I,5,0.0369672729307378,0.0959085817650315,5,1.0,5,0.0369672729307378,0.0959085817650315,1.0,0,0.0
